objectid,identifier,filename,title,creator,date,format,clock-type,manufacturer,description,view-type,relation,source-type,file-size,resolution,physical-format,digital-surrogate,rights-status,license,rights-holder,attribution
coll001,5,005_Stagecoach_Clock.jpg,005 Stagecoach Clock,"Ledolter, Jeffrey",2017-02-08,image/jpeg,Mantle,,Mantle Clock with illustration of a stagecoach,Front,5,Original,0.46,1224x1632,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll002,201,201_Sessions_Clock_Co_Front.jpg,201 Sessions Clock Co - Front,"Ledolter, Jeffrey",2012-11-22,image/jpeg,Mantle,Sessions Clock Co,Front-facing image of clock made by the Sessions Clock Company,Front,201,Original,4.43,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll003,201,201_Sessions_Clock_Co_Movement.jpg,201 Sessions Clock Co - Movement,"Ledolter, Jeffrey",2012-11-22,image/jpeg,Mantle,Sessions Clock Co,Interior image of clock gears (movement) made by the Sessions Clock Company,Movement,201,Original,5.1,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll004,272,272_Tokyo_Clock_Front.jpg,272 Tokyo Clock - Front,"Ledolter, Jeffrey",2012-11-23,image/jpeg,Wall,,"Front image of wall clock with face marking ""MADE TOKYO""",Front,272,Original,3.82,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll005,272,272_Tokyo_Clock_Interior.jpg,272 Tokyo Clock - Interior,"Ledolter, Jeffrey",2012-11-23,image/jpeg,Wall,,"Interior image of wall clock with face marking ""MADE TOKYO""",Movement,272,Original,4.37,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll006,466,466_Bronze_Lion_Seth_Thomas_Front.jpg,466 Bronze Lion Seth Thomas - Front,"Ledolter, Jeffrey",2012-11-23,image/jpeg,Wall,Seth Thomas,Front image of a Seth Thomas brand clock featuring a bronze lion head.,Front,466,Original,4.85,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll007,466,466_Bronze_Lion_Seth_Thomas_Label.jpg,466 Bronze Lion Seth Thomas - Label,"Ledolter, Jeffrey",2012-11-23,image/jpeg,Wall,Seth Thomas,Photo of the label for a Seth Thomas brand clock featuring a bronze lion head,Label,466,Original,4.65,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll008,,Factory_Wall_Clock.jpg,Factory Wall Clock,"Smithsonian Institution, National Museum of American History",1808-01-01,image/jpeg,Wall,Benjamin Hanks,"Benjamin Hanks and his son Truman (1782-1846) designed this wall clock for use in a mill. Within the clock’s white dial are five subsidiary indicators for both time of day and mill machinery operations.
Made sometime between 1808 and 1824, perhaps as an experimental timepiece, the clock is a very early example of factory time control. At the time this clock was made, keeping track of workers’ hours was mainly the job of clerks. By the late 1880s, though, time accounting was mechanized in factories. Then the time clock, introduced to record automatically the times a worker entered and left the workplace, came to symbolize industrialization itself.
Benjamin Hanks (1755-1824) worked in Mansfield, Conn., as a clock- and watchmaker and in 1785 established a foundry there for casting bells and cannons. About 1808 he moved to the area near Troy, N.Y., and set up an iron foundry. His brother Rodney established the first water-powered silk mill in the United States in 1810.",Front,,Institution,1.08,799x2000,Wood,No,No Copyright – United States,CC0 1.0,Smithsonian Institution,Courtesy of Smithsonian Institution
coll009,12,IMG_6874.jpg,012 Black Mantle Clock - Front,"Ledolter, Jeffrey",2012-11-23,image/jpeg,Mantle,New Haven,"Mantle Clock, rounded, New Haven Co, front photo",Front,12,Original,3.88,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll010,12,IMG_6875.jpg,012 Black Mantle Clock - Face,"Ledolter, Jeffrey",2012-11-23,image/jpeg,Mantle,New Haven,"Mantle Clock, rounded, New Haven Co, face photo",Face,12,Original,3.69,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll012,12,IMG_6878.jpg,012 Black Mantle Clock - Back,"Ledolter, Jeffrey",2012-11-23,image/jpeg,Mantle,New Haven,"Mantle Clock, rounded, New Haven Co, back photo",Back,12,Original,4.2,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll013,12,IMG_6879.jpg,012 Black Mantle Clock - Movement,"Ledolter, Jeffrey",2012-11-23,image/jpeg,Mantle,New Haven,"Mantle Clock, rounded, New Haven Co, movement photo",Movement,12,Original,3.91,4272x2848,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll014,48,DSC05008.jpg,048 Ornate Wooden Mantle - Front,"Ledolter, Jeffrey",2011-07-30,image/jpeg,Mantle,,"Mantle Clock, ornate, New Haven Co, front photo",Front,48,Original,2.37,2448x3264,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll015,48,DSC05010.jpg,048 Ornate Wooden Mantle - Face,"Ledolter, Jeffrey",2011-07-30,image/jpeg,Mantle,,"Mantle Clock, ornate, New Haven Co, face photo",Face,48,Original,2.73,2448x3264,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
coll016,48,DSC05013.jpg,048 Ornate Wooden Mantle - Back,"Ledolter, Jeffrey",2011-07-30,image/jpeg,Mantle,,"Mantle Clock, ornate, New Haven Co, back photo",Back,48,Original,2.56,2448x3264,Wood,Yes,In Copyright,All Rights Reserved,"Ledolter, Jeffrey",Photo by Jeffrey Ledolter
